Date,Message
2026-08-10T11:12:00.000+01:00,GCLOSEHDR;2026-08-10 08:00;2026-08-11 00:00;6;8;8
2026-08-10T11:12:00.000+01:00,GCLOSE;1;GBPAUD;A2:14;2026-08-10 08:14;2026-08-10 08:15;1;long;2026-08-10 08:13
2026-08-10T11:12:00.000+01:00,GCLOSE;2;GBPAUD;B2:28;2026-08-10 08:26;2026-08-10 08:39;2;short;2026-08-10 08:16
2026-08-10T11:12:00.000+01:00,GCLOSE;3;USDCAD;C1:11;2026-08-10 08:44;2026-08-10 08:45;1;short;2026-08-10 08:14
2026-08-10T11:12:00.000+01:00,GCLOSE;4;CADJPY;B2:28;2026-08-10 09:19;2026-08-10 09:20;1;long;2026-08-10 09:18
2026-08-10T11:12:00.000+01:00,GCLOSE;5;EURJPY;B2:28;2026-08-10 09:18;2026-08-10 09:34;2;long;2026-08-10 09:17
2026-08-10T11:12:00.000+01:00,GCLOSE;6;EURAUD;B1:25;2026-08-10 10:03;2026-08-10 10:04;1;long;2026-08-10 09:50
