Date,Message
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;USDJPY;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;USDJPY;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;USDJPY;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;USDJPY;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;USDJPY;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;USDJPY;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;USDJPY;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;AUDUSD;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURGBP;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURCHF;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURCHF;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=07-26 22:24
