Date,Message
2026-08-10T18:00:00.000+01:00,MAR1GSOPEN;EURJPY;C2;08-10 18:00;0;
2026-08-10T18:01:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 18:00;1;08-10 18:00
2026-08-10T18:01:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 18:00;1;08-10 18:00
2026-08-10T18:01:00.000+01:00,MAR1GSOPEN;EURJPY;C1;08-10 18:00;0;
2026-08-10T18:01:00.000+01:00,MAR1GSOPEN;EURJPY;C2;08-10 18:00;0;
2026-08-10T18:02:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 18:00;1;08-10 18:00
2026-08-10T18:02:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 18:00;1;08-10 18:00
2026-08-10T18:02:00.000+01:00,MAR1GSOPEN;EURJPY;C1;08-10 18:00;0;
2026-08-10T18:02:00.000+01:00,MAR1GSOPEN;EURJPY;C2;08-10 18:00;0;
2026-08-10T18:03:00.000+01:00,"MAR1GSOPEN;EURJPY;B1;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:03:00.000+01:00,"MAR1GSOPEN;EURJPY;B2;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:03:00.000+01:00,MAR1GSOPEN;EURJPY;C1;08-10 18:03;1;08-10 18:03
2026-08-10T18:03:00.000+01:00,MAR1GSOPEN;EURJPY;C2;08-10 18:03;1;08-10 18:03
2026-08-10T18:04:00.000+01:00,"MAR1GSOPEN;EURJPY;B1;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:04:00.000+01:00,"MAR1GSOPEN;EURJPY;B2;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:04:00.000+01:00,MAR1GSOPEN;EURJPY;C1;08-10 18:03;1;08-10 18:03
2026-08-10T18:04:00.000+01:00,MAR1GSOPEN;EURJPY;C2;08-10 18:03;1;08-10 18:03
2026-08-10T18:05:00.000+01:00,"MAR1GSOPEN;EURJPY;B1;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:05:00.000+01:00,"MAR1GSOPEN;EURJPY;B2;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:05:00.000+01:00,MAR1GSOPEN;EURJPY;C1;08-10 18:03;1;08-10 18:03
2026-08-10T18:05:00.000+01:00,MAR1GSOPEN;EURJPY;C2;08-10 18:03;1;08-10 18:03
2026-08-10T18:06:00.000+01:00,"MAR1GSOPEN;EURJPY;B1;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:06:00.000+01:00,"MAR1GSOPEN;EURJPY;B2;08-10 18:00;2;08-10 18:00,08-10 18:03"
2026-08-10T18:06:00.000+01:00,MAR1GSOPEN;EURJPY;C1;08-10 18:03;1;08-10 18:03
2026-08-10T18:06:00.000+01:00,MAR1GSOPEN;EURJPY;C2;08-10 18:03;1;08-10 18:03
2026-08-10T18:07:00.000+01:00,"MAR1GSCLOSE;EURJPY;B1;08-10 18:00;08-10 18:08;3;long;08-10 18:00,08-10 18:03,08-10 18:07"
2026-08-10T18:07:00.000+01:00,"MAR1GSCLOSE;EURJPY;B2;08-10 18:00;08-10 18:08;3;long;08-10 18:00,08-10 18:03,08-10 18:07"
2026-08-10T18:07:00.000+01:00,"MAR1GSCLOSE;EURJPY;C1;08-10 18:03;08-10 18:08;2;long;08-10 18:03,08-10 18:07"
2026-08-10T18:07:00.000+01:00,"MAR1GSCLOSE;EURJPY;C2;08-10 18:03;08-10 18:08;2;long;08-10 18:03,08-10 18:07"
2026-08-10T19:14:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:14:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:15:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:15:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:16:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:16:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:17:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:17:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:18:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:18:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:19:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:19:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:20:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:20:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:21:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:14;0;
2026-08-10T19:21:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:14;0;
2026-08-10T19:22:00.000+01:00,MAR1GSOPEN;EURJPY;A2;08-10 19:22;0;
2026-08-10T19:22:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:22;1;08-10 19:22
2026-08-10T19:22:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:22;1;08-10 19:22
2026-08-10T19:23:00.000+01:00,MAR1GSOPEN;EURJPY;A2;08-10 19:22;0;
2026-08-10T19:23:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:22;1;08-10 19:22
2026-08-10T19:23:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:22;1;08-10 19:22
2026-08-10T19:24:00.000+01:00,MAR1GSOPEN;EURJPY;A2;08-10 19:22;0;
2026-08-10T19:24:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:22;1;08-10 19:22
2026-08-10T19:24:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:22;1;08-10 19:22
2026-08-10T19:25:00.000+01:00,MAR1GSOPEN;EURJPY;A2;08-10 19:22;0;
2026-08-10T19:25:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:22;1;08-10 19:22
2026-08-10T19:25:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:22;1;08-10 19:22
2026-08-10T19:26:00.000+01:00,MAR1GSOPEN;EURJPY;A2;08-10 19:26;1;08-10 19:26
2026-08-10T19:26:00.000+01:00,"MAR1GSOPEN;EURJPY;B1;08-10 19:22;2;08-10 19:22,08-10 19:26"
2026-08-10T19:26:00.000+01:00,"MAR1GSOPEN;EURJPY;B2;08-10 19:22;2;08-10 19:22,08-10 19:26"
2026-08-10T19:27:00.000+01:00,"MAR1GSCLOSE;EURJPY;A2;08-10 19:26;08-10 19:28;2;long;08-10 19:26,08-10 19:27"
2026-08-10T19:27:00.000+01:00,"MAR1GSCLOSE;EURJPY;B1;08-10 19:22;08-10 19:28;3;long;08-10 19:22,08-10 19:26,08-10 19:27"
2026-08-10T19:27:00.000+01:00,"MAR1GSCLOSE;EURJPY;B2;08-10 19:22;08-10 19:28;3;long;08-10 19:22,08-10 19:26,08-10 19:27"
2026-08-10T19:42:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:42;0;
2026-08-10T19:43:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:42;0;
2026-08-10T19:44:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:42;0;
2026-08-10T19:45:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:42;0;
2026-08-10T19:46:00.000+01:00,MAR1GSOPEN;EURJPY;A1;08-10 19:46;0;
2026-08-10T19:46:00.000+01:00,MAR1GSOPEN;EURJPY;A2;08-10 19:46;0;
2026-08-10T19:46:00.000+01:00,MAR1GSOPEN;EURJPY;B1;08-10 19:46;1;08-10 19:46
2026-08-10T19:46:00.000+01:00,MAR1GSOPEN;EURJPY;B2;08-10 19:46;0;
2026-08-10T19:47:00.000+01:00,MAR1GSCLOSE;EURJPY;A1;08-10 19:47;08-10 19:48;1;long;08-10 19:47
