Date,Message
2026-08-05T19:36:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:36:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:37:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:37:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:38:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:38:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:39:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:39:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:40:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:40:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:41:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:41:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:42:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:42:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:43:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:43:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:44:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:44:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:45:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:45:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:46:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:46:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:47:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:47:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:48:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:48:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:49:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:49:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:50:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:50:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:51:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:51:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
2026-08-05T19:52:00.000+01:00,MAR1GSOPEN;CADCHF;B1;08-05 19:23;0;
2026-08-05T19:52:00.000+01:00,MAR1GSOPEN;CADCHF;B2;08-05 19:23;0;
