Date,Message
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURJPY;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURJPY;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURJPY;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURJPY;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURJPY;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURJPY;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURJPY;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURAUD;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;EURCAD;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;GBPAUD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;GBPAUD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
2026-08-02T22:03:00.000+01:00,DIAG-CLOSE;GBPAUD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=false;time_close=08-02 22:04
