Date,Message
2026-08-07T21:57:00.000+01:00,GCLOSEHDR;1970-01-01 01:00;2026-08-10 03:28;304;517;8
2026-08-07T21:57:00.000+01:00,GCLOSE;36;EURUSD;A2:14;2026-08-03 19:12;2026-08-03 19:13;1;long;2026-08-03 19:11
2026-08-07T21:57:00.000+01:00,GCLOSE;37;AUDUSD;A2:14;2026-08-03 19:11;2026-08-03 19:52;4;long;2026-08-03 18:49
2026-08-07T21:57:00.000+01:00,GCLOSE;38;AUDCAD;A2:14;2026-08-03 20:56;2026-08-03 20:57;1;long;2026-08-03 20:55
2026-08-07T21:57:00.000+01:00,GCLOSE;39;CADCHF;A2:14;2026-08-03 22:16;2026-08-03 22:30;3;short;2026-08-03 22:15
2026-08-07T21:57:00.000+01:00,GCLOSE;40;EURGBP;A2:14;2026-08-03 22:34;2026-08-03 22:35;1;long;2026-08-03 22:33
2026-08-07T21:57:00.000+01:00,GCLOSE;41;EURCHF;A2:14;2026-08-03 22:48;2026-08-03 22:49;1;long;2026-08-03 22:33
2026-08-07T21:57:00.000+01:00,GCLOSE;42;AUDCAD;A1:13;2026-08-03 22:46;2026-08-03 22:49;2;long;2026-08-03 22:45
2026-08-07T21:57:00.000+01:00,GCLOSE;43;CHFJPY;A2:14;2026-08-03 22:59;2026-08-03 23:00;1;long;2026-08-03 22:58
2026-08-07T21:57:00.000+01:00,GCLOSE;44;EURAUD;A2:14;2026-08-03 23:00;2026-08-03 23:02;2;long;2026-08-03 22:52
2026-08-07T21:57:00.000+01:00,GCLOSE;45;USDCAD;A2:14;2026-08-03 23:50;2026-08-03 23:51;1;short;2026-08-03 23:49
2026-08-07T21:57:00.000+01:00,GCLOSE;46;EURGBP;A2:14;2026-08-04 00:29;2026-08-04 00:31;2;long;2026-08-04 00:28
2026-08-07T21:57:00.000+01:00,GCLOSE;47;GBPJPY;B2:28;2026-08-04 00:34;2026-08-04 00:43;2;long;2026-08-04 00:33
2026-08-07T21:57:00.000+01:00,GCLOSE;48;EURUSD;A2:14;2026-08-04 00:50;2026-08-04 00:51;1;short;2026-08-04 00:49
2026-08-07T21:57:00.000+01:00,GCLOSE;49;EURJPY;A1:13;2026-08-04 01:01;2026-08-04 01:02;1;short;2026-08-04 00:55
2026-08-07T21:57:00.000+01:00,GCLOSE;50;EURJPY;A2:14;2026-08-04 01:06;2026-08-04 01:07;1;short;2026-08-04 01:05
2026-08-07T21:57:00.000+01:00,GCLOSE;51;EURCAD;A2:14;2026-08-04 01:21;2026-08-04 01:23;2;short;2026-08-04 01:20
2026-08-07T21:57:00.000+01:00,GCLOSE;52;EURUSD;C2:29;2026-08-04 01:28;2026-08-04 01:29;1;long;2026-08-04 01:06
2026-08-07T21:57:00.000+01:00,GCLOSE;53;AUDUSD;B2:28;2026-08-04 01:12;2026-08-04 01:29;2;long;2026-08-04 01:11
2026-08-07T21:57:00.000+01:00,GCLOSE;54;EURCHF;A2:14;2026-08-04 01:41;2026-08-04 01:42;1;short;2026-08-04 01:38
2026-08-07T21:57:00.000+01:00,GCLOSE;55;EURUSD;A2:14;2026-08-04 02:28;2026-08-04 02:29;1;long;2026-08-04 02:27
2026-08-07T21:57:00.000+01:00,GCLOSE;56;USDCHF;A2:14;2026-08-04 02:28;2026-08-04 02:29;1;short;2026-08-04 02:27
2026-08-07T21:57:00.000+01:00,GCLOSE;57;EURGBP;A1:13;2026-08-04 02:37;2026-08-04 02:38;1;long;2026-08-04 02:23
2026-08-07T21:57:00.000+01:00,GCLOSE;58;AUDCHF;A2:14;2026-08-04 02:43;2026-08-04 02:44;1;long;2026-08-04 02:38
2026-08-07T21:57:00.000+01:00,GCLOSE;59;CHFJPY;A2:14;2026-08-04 02:56;2026-08-04 03:00;2;long;2026-08-04 02:51
2026-08-07T21:57:00.000+01:00,GCLOSE;60;GBPUSD;A2:14;2026-08-04 03:15;2026-08-04 03:16;1;long;2026-08-04 02:46
2026-08-07T21:57:00.000+01:00,GCLOSE;61;GBPAUD;A2:14;2026-08-04 03:29;2026-08-04 03:30;1;short;2026-08-04 03:28
2026-08-07T21:57:00.000+01:00,GCLOSE;62;GBPAUD;B2:28;2026-08-04 03:35;2026-08-04 03:36;1;short;2026-08-04 03:34
2026-08-07T21:57:00.000+01:00,GCLOSE;63;CADCHF;B2:28;2026-08-04 03:37;2026-08-04 03:38;1;short;2026-08-04 03:30
2026-08-07T21:57:00.000+01:00,GCLOSE;64;AUDCHF;A2:14;2026-08-04 03:29;2026-08-04 04:02;2;long;2026-08-04 03:28
2026-08-07T21:57:00.000+01:00,GCLOSE;65;USDJPY;A2:14;2026-08-04 03:48;2026-08-04 04:21;2;short;2026-08-04 03:29
2026-08-07T21:57:00.000+01:00,GCLOSE;66;EURUSD;A1:13;2026-08-04 04:30;2026-08-04 04:31;1;long;2026-08-04 04:29
2026-08-07T21:57:00.000+01:00,GCLOSE;67;GBPCHF;A2:14;2026-08-04 05:01;2026-08-04 05:02;1;long;2026-08-04 05:00
2026-08-07T21:57:00.000+01:00,GCLOSE;68;CADCHF;A1:13;2026-08-04 05:01;2026-08-04 05:02;1;long;2026-08-04 05:00
2026-08-07T21:57:00.000+01:00,GCLOSE;69;USDJPY;A1:13;2026-08-04 05:32;2026-08-04 05:33;1;short;2026-08-04 05:29
2026-08-07T21:57:00.000+01:00,GCLOSE;70;GBPCAD;A2:14;2026-08-04 04:46;2026-08-04 06:01;8;long;2026-08-04 04:28
2026-08-07T21:57:00.000+01:00,GCLOSE;71;AUDCHF;A2:14;2026-08-04 06:06;2026-08-04 06:07;1;short;2026-08-04 05:48
2026-08-07T21:57:00.000+01:00,GCLOSE;72;USDJPY;A2:14;2026-08-04 06:16;2026-08-04 06:18;2;long;2026-08-04 06:04
2026-08-07T21:57:00.000+01:00,GCLOSE;73;EURGBP;B2:28;2026-08-04 06:29;2026-08-04 06:30;1;short;2026-08-04 06:28
2026-08-07T21:57:00.000+01:00,GCLOSE;74;AUDCAD;A1:13;2026-08-04 05:58;2026-08-04 06:30;4;long;2026-08-04 05:49
2026-08-07T21:57:00.000+01:00,GCLOSE;75;GBPAUD;A2:14;2026-08-04 06:46;2026-08-04 06:47;1;long;2026-08-04 06:45
2026-08-07T21:57:00.000+01:00,GCLOSE;76;AUDCAD;B2:28;2026-08-04 06:59;2026-08-04 07:00;1;long;2026-08-04 06:32
2026-08-07T21:57:00.000+01:00,GCLOSE;77;AUDJPY;A2:14;2026-08-04 08:05;2026-08-04 08:06;1;long;2026-08-04 06:13
2026-08-07T21:57:00.000+01:00,GCLOSE;78;AUDCAD;D2:35;2026-08-04 08:46;2026-08-04 08:47;1;short;2026-08-04 08:45
2026-08-07T21:57:00.000+01:00,GCLOSE;79;AUDJPY;A2:14;2026-08-04 08:44;2026-08-04 08:48;2;long;2026-08-04 08:43
2026-08-07T21:57:00.000+01:00,GCLOSE;80;EURCHF;A2:14;2026-08-04 10:06;2026-08-04 10:07;1;short;2026-08-04 10:01
2026-08-07T21:57:00.000+01:00,GCLOSE;81;EURCAD;A2:14;2026-08-04 12:13;2026-08-04 12:14;1;long;2026-08-04 11:53
2026-08-07T21:57:00.000+01:00,GCLOSE;82;GBPUSD;A2:14;2026-08-04 11:06;2026-08-04 12:16;5;long;2026-08-04 10:09
2026-08-07T21:57:00.000+01:00,GCLOSE;83;AUDUSD;B2:28;2026-08-04 11:50;2026-08-04 12:17;3;long;2026-08-04 11:06
2026-08-07T21:57:00.000+01:00,GCLOSE;84;EURJPY;A2:14;2026-08-04 12:45;2026-08-04 12:46;1;short;2026-08-04 12:41
